_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
1,2023,M1C,DOG,GOLDEN RETR
2,2024,M4T,DOG,OLDENG SHEEPDOG
3,2023,M8X,CAT,DOMESTIC SH
4,2024,M4J,CAT,DOMESTIC SH
5,2023,M3C,CAT,DOMESTIC SH
6,2023,M9R,CAT,DOMESTIC SH
7,2024,M8V,CAT,DOMESTIC SH
8,2025,M8V,CAT,DOMESTIC SH
9,2024,M8Y,CAT,DOMESTIC SH
10,2023,M4C,CAT,DOMESTIC LH
11,2023,M4B,CAT,DOMESTIC SH
12,2024,M9L,CAT,DOMESTIC SH
13,2023,M8Z,DOG,GERM SHEPHERD
14,2023,M1P,CAT,DOMESTIC SH
15,2023,M8V,CAT,DOMESTIC SH
16,2023,M1E,CAT,DOMESTIC SH
17,2023,M6M,CAT,DOMESTIC SH
18,2023,M3K,DOG,COTON DE TULEAR
19,2024,M1H,CAT,DOMESTIC SH
20,2023,M4J,CAT,DOMESTIC SH
21,2023,M5M,CAT,DOMESTIC SH
22,2023,M1C,DOG,BICHON FRISE
23,2023,M9A,CAT,DOMESTIC SH
24,2023,M9P,CAT,DOMESTIC SH
25,2023,M4P,CAT,DOMESTIC SH
26,2023,M9A,CAT,DOMESTIC SH
27,2025,M1G,CAT,DOMESTIC SH
28,2023,M3J,CAT,DOMESTIC SH
29,2023,M5V,DOG,SHIH TZU
30,2023,M3A,DOG,POODLE MIN
31,2023,M9W,CAT,DOMESTIC SH
32,2023,M9C,DOG,PARSON RUSS TER
33,2023,M4N,CAT,DOMESTIC LH
34,2023,M4N,CAT,DOMESTIC LH
35,2023,M9B,CAT,DOMESTIC SH
36,2024,M2M,DOG,CAVALIER SPAN
37,2023,M2M,DOG,CAVALIER SPAN
38,2025,M5A,CAT,DOMESTIC SH
39,2023,M1T,CAT,DOMESTIC SH
40,2024,M1E,DOG,PARSON RUSS TER
41,2023,M1E,DOG,COCKER SPAN
42,2024,M8X,CAT,DOMESTIC SH
43,2023,M6R,DOG,BEAGLE
44,2024,M4B,CAT,DOMESTIC SH
45,2024,M9B,CAT,DOMESTIC SH
46,2023,M1H,CAT,DOMESTIC SH
47,2024,M1N,CAT,DOMESTIC SH
48,2023,M9C,CAT,DOMESTIC SH
49,2023,M6S,DOG,PARSON RUSS TER
50,2025,M1B,CAT,DOMESTIC SH
51,2023,M2H,DOG,AMER ESKIMO
52,2023,M8W,CAT,DOMESTIC SH
53,2023,M1V,CAT,DOMESTIC SH
54,2023,M1V,CAT,DOMESTIC SH
55,2024,M6R,CAT,DOMESTIC SH
56,2023,M1B,CAT,DOMESTIC SH
57,2023,M2N,CAT,SIAMESE
58,2023,M3B,DOG,SCHNAUZER MIN
59,2025,M8W,CAT,DOMESTIC SH
60,2023,M8W,CAT,DOMESTIC SH
61,2023,M1E,CAT,DOMESTIC SH
62,2024,M4M,CAT,DOMESTIC MH
63,2024,M4G,CAT,DOMESTIC SH
64,2024,M6J,CAT,DOMESTIC MH
65,2023,M2H,CAT,DOMESTIC SH
66,2023,M4N,DOG,YORKSHIRE TERR
67,2024,M4J,CAT,DOMESTIC SH
68,2024,M9P,CAT,DOMESTIC SH
69,2023,M1E,CAT,DOMESTIC SH
70,2023,M9M,DOG,SHIH TZU
71,2023,M1W,CAT,DOMESTIC SH
72,2023,M5P,CAT,DOMESTIC SH
73,2024,M2J,CAT,MAINE COON
74,2023,M4C,CAT,DOMESTIC SH
75,2024,M4L,DOG,POODLE MIN
76,2023,M9A,CAT,DOMESTIC SH
