_id,objectid,locationid,asset_id,location_name,address,hours,url,comm_dog_walkers_allowed,fenced_perimeter,lit_area,small_dog_area,surface_material,nearby_drinking_water_source,nearby_drinking_water_source_ty,hours_of_operation,area_sqm,features,geometry
1,119,1489,58183,Raymore Park,95 Raymore Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1489,Yes,Full,No,Yes,Pea Gravel,None,None,"7 a.m. to 9:30 p.m.
CDW only allowed from May 1 to Oct 31",2806,None,"{""coordinates"": [[-79.5142537191441, 43.6933961989639]], ""type"": ""MultiPoint""}"
2,120,11,2819,G. Ross Lord Park,4801 Dufferin St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=11,No,Full,Yes,No,Grass,None,None,Park hours,2890,None,"{""coordinates"": [[-79.4681561559785, 43.7777206087928]], ""type"": ""MultiPoint""}"
3,121,3660,75642,Aitken Place Park,90 Merchants' Wharf,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3660,Yes,Full,Yes,No,"Synthetic K-9 Turf, Pea Gravel",None,None,Park hours,177,None,"{""coordinates"": [[-79.3626316032127, 43.6453492181521]], ""type"": ""MultiPoint""}"
4,122,1080,2809,King's Mill Park,9 Catherine St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1080,Yes,None,No,No,"Grass, Dirt",None,None,7 a.m. to 10 p.m.,12737,None,"{""coordinates"": [[-79.491922953263, 43.6418791127685]], ""type"": ""MultiPoint""}"
5,123,461,2820,Wychwood Barns Park,76 Wychwood Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=461,No,Full,Yes,No,Crushed Granite,Yes,"Drinking Fountain, Dog Fountain","Tuesday to Saturday
7:30 a.m. to noon 
& 3 p.m. to 9 p.m.;
Sunday to Monday
10 a.m. to noon 
& 3 p.m. to 9 p.m. 
(Closed daily noon to 3 p.m.)",1231,None,"{""coordinates"": [[-79.4243579497432, 43.6793666455795]], ""type"": ""MultiPoint""}"
6,124,157,2832,Cassels Avenue Playground,69 Cassels Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=157,Yes,None,No,No,Grass,None,None,"May 1 to Sept 30
5:30 a.m. to 9:30 a.m. 
& 8 p.m. to midnight;

Oct 1 to Apr 30
Park hours",6128,None,"{""coordinates"": [[-79.3071703843045, 43.6805665767272]], ""type"": ""MultiPoint""}"
7,125,427,2836,Balmy Beach Park,1 Beech Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=427,Yes,None,No,No,Sand,None,None,Park hours,13845,None,"{""coordinates"": [[-79.2821315060213, 43.6706885385767]], ""type"": ""MultiPoint""}"
8,126,149,18544,Sherwood Park,190 Sherwood Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=149,Yes,Full,No,No,"Boardwalk, Natural Trail",Yes,Dog Fountain,6 a.m. to midnight,4475,None,"{""coordinates"": [[-79.3846763250867, 43.7166924310153]], ""type"": ""MultiPoint""}"
9,127,441,24987,Warden Woods Parks,125 Pharmacy Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=441,Yes,Full,No,No,Choker Sand,Yes,Dog Fountain,7 a.m. to 10 p.m.,1595,None,"{""coordinates"": [[-79.2841967117982, 43.6983978642558]], ""type"": ""MultiPoint""}"
10,128,1901,58562,Bill Johnston Park,65 Western Battery Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1901,Yes,Full,No,No,Choker Sand,Yes,"Drinking Fountain, Dog Fountain",Park hours,774,None,"{""coordinates"": [[-79.415324155229, 43.6401477573231]], ""type"": ""MultiPoint""}"
