,FSA,CAT,DOG,Total,Year,Population
0,M3K,51,106,157,2021,"7,865"
1,M4G,152,710,862,2021,"19,598"
2,M3L,48,156,204,2021,"19,263"
3,M3M,127,239,366,2021,"24,906"
4,M3N,147,212,359,2021,"40,846"
5,M4A,106,198,304,2021,"14,589"
6,M4B,174,381,555,2021,"18,612"
7,M4C,502,997,1499,2021,"46,440"
8,M4E,344,1090,1434,2021,"25,473"
9,M4H,62,44,106,2021,"18,698"
10,M4X,157,312,469,2021,"19,896"
11,M4K,299,844,1143,2021,"30,913"
12,M4L,374,1183,1557,2021,"32,218"
13,M4M,251,677,928,2021,"25,052"
14,M4N,99,599,698,2021,"16,058"
15,M4P,231,644,875,2021,"25,057"
16,M4R,120,472,592,2021,"11,909"
17,M4S,296,807,1103,2021,"30,754"
18,M4T,80,432,512,2021,"10,332"
19,M4V,124,640,764,2021,"19,273"
20,M3J,146,202,348,2021,"26,600"
21,M4W,89,555,644,2021,"15,296"
22,M4J,427,980,1407,2021,"35,128"
23,M3H,196,627,823,2021,"38,416"
24,M2H,142,278,420,2021,"23,396"
25,M3B,93,311,404,2021,"12,880"
26,M1H,101,235,336,2021,"23,964"
27,M1J,201,316,517,2021,"37,002"
28,M1K,290,459,749,2021,"48,175"
29,M1L,198,444,642,2021,"35,833"
30,M1M,222,554,776,2021,"23,258"
31,M1N,237,676,913,2021,"22,976"
32,M1P,215,393,608,2021,"45,170"
33,M1R,128,418,546,2021,"30,467"
34,M1S,141,321,462,2021,"37,663"
35,M1T,146,344,490,2021,"34,607"
36,M1V,146,386,532,2021,"50,825"
37,M1W,158,383,541,2021,"47,070"
38,M1X,23,107,130,2021,"14,810"
39,M2J,276,586,862,2021,"61,761"
40,M2K,109,339,448,2021,"25,377"
41,M2L,62,312,374,2021,"11,274"
42,M2M,165,333,498,2021,"31,915"
43,M2N,394,921,1315,2021,"75,100"
44,M2P,39,219,258,2021,"7,546"
45,M2R,169,450,619,2021,"40,581"
46,M3A,211,512,723,2021,"34,361"
47,M3C,189,318,507,2021,"39,616"
48,M4Y,308,590,898,2021,"36,319"
49,M1B,205,494,699,2021,"65,555"
50,M5B,137,208,345,2021,"17,422"
51,M6R,282,697,979,2021,"19,349"
52,M6S,390,1029,1419,2021,"34,029"
53,M8V,418,1017,1435,2021,"44,144"
54,M8W,254,618,872,2021,"22,381"
55,M8X,103,371,474,2021,"10,624"
56,M8Y,171,547,718,2021,"21,986"
57,M8Z,175,526,701,2021,"19,312"
58,M9A,272,799,1071,2021,"36,642"
59,M9B,244,743,987,2021,"33,236"
60,M9C,278,805,1083,2021,"38,725"
61,M9L,40,88,128,2021,"11,737"
62,M9M,83,146,229,2021,"24,245"
63,M9N,145,361,506,2021,"26,059"
64,M9P,124,355,479,2021,"20,645"
65,M9R,176,429,605,2021,"33,783"
66,M9V,151,313,464,2021,"53,878"
67,M9W,175,420,595,2021,"40,977"
68,M1C,210,663,873,2021,"35,642"
69,M1G,142,296,438,2021,"30,894"
70,M6P,503,1136,1639,2021,"39,870"
71,M5A,369,1007,1376,2021,"48,978"
72,M6N,328,784,1112,2021,"40,252"
73,M6L,73,215,288,2021,"20,156"
74,M5C,27,82,109,2021,"3,149"
75,M5E,75,219,294,2021,"11,779"
76,M5G,55,92,147,2021,"9,751"
77,M5H,13,47,60,2021,"3,248"
78,M5J,99,191,290,2021,"16,879"
79,M5M,192,884,1076,2021,"25,495"
80,M5N,100,476,576,2021,"16,154"
81,M5P,133,678,811,2021,"19,791"
82,M6M,199,432,631,2021,"42,148"
83,M5R,191,685,876,2021,"26,197"
84,M5T,136,239,375,2021,"17,903"
85,M5V,362,1114,1476,2021,"59,912"
86,M6A,136,255,391,2021,"22,380"
87,M6B,136,384,520,2021,"28,534"
88,M6C,183,608,791,2021,"23,997"
89,M6E,272,653,925,2021,"37,684"
90,M6G,371,771,1142,2021,"30,600"
91,M6H,532,910,1442,2021,"43,730"
92,M6J,329,715,1044,2021,"32,111"
93,M6K,406,850,1256,2021,"42,110"
94,M5S,123,251,374,2021,"17,074"
95,M1E,365,748,1113,2021,"48,033"
