,FSA,CAT,DOG,Total,Year,Population,Dogs_Per_Person,Cats_Per_Person
0,M3K,51,106,157,2021,7865.0,0.01347743165924984,0.006484424666242848
1,M4G,152,710,862,2021,19598.0,0.03622818654964792,0.007755893458516175
2,M3L,48,156,204,2021,19263.0,0.008098427036287183,0.0024918237034729793
3,M3M,127,239,366,2021,24906.0,0.0095960812655585,0.0050991728900666505
4,M3N,147,212,359,2021,40846.0,0.00519022670518533,0.003598883611614356
5,M4A,106,198,304,2021,14589.0,0.013571869216533004,0.00726574816642676
6,M4B,174,381,555,2021,18612.0,0.020470664087685365,0.009348807221147646
7,M4C,502,997,1499,2021,46440.0,0.021468561584840656,0.010809646856158484
8,M4E,344,1090,1434,2021,25473.0,0.042790405527421194,0.013504494955443019
9,M4H,62,44,106,2021,18698.0,0.002353192854850786,0.003315862659107926
10,M4X,157,312,469,2021,19896.0,0.015681544028950542,0.007891033373542421
11,M4K,299,844,1143,2021,30913.0,0.027302429398634878,0.009672306149516384
12,M4L,374,1183,1557,2021,32218.0,0.03671860450679744,0.011608417654727171
13,M4M,251,677,928,2021,25052.0,0.027023790515727286,0.01001916014689446
14,M4N,99,599,698,2021,16058.0,0.03730227923776311,0.006165151326441649
15,M4P,231,644,875,2021,25057.0,0.025701400806161952,0.009218980723949395
16,M4R,120,472,592,2021,11909.0,0.03963389033504072,0.010076412797044252
17,M4S,296,807,1103,2021,30754.0,0.026240489042075828,0.009624764258307862
18,M4T,80,432,512,2021,10332.0,0.041811846689895474,0.007742934572202865
19,M4V,124,640,764,2021,19273.0,0.033207077258340684,0.006433871218803507
20,M3J,146,202,348,2021,26600.0,0.007593984962406015,0.005488721804511278
21,M4W,89,555,644,2021,15296.0,0.03628399581589958,0.005818514644351464
22,M4J,427,980,1407,2021,35128.0,0.027897973126850377,0.012155545433841949
23,M3H,196,627,823,2021,38416.0,0.016321324448146605,0.00510204081632653
24,M2H,142,278,420,2021,23396.0,0.011882373055223116,0.00606941357497008
25,M3B,93,311,404,2021,12880.0,0.024145962732919253,0.0072204968944099375
26,M1H,101,235,336,2021,23964.0,0.009806376231013186,0.004214655316307795
27,M1J,201,316,517,2021,37002.0,0.008540078914653262,0.005432138803307929
28,M1K,290,459,749,2021,48175.0,0.00952776336274001,0.006019719771665801
29,M1L,198,444,642,2021,35833.0,0.01239081293779477,0.0055256327965841545
30,M1M,222,554,776,2021,23258.0,0.02381976094247141,0.009545102760340528
31,M1N,237,676,913,2021,22976.0,0.02942200557103064,0.010315111420612814
32,M1P,215,393,608,2021,45170.0,0.00870046491033872,0.0047597963249944655
33,M1R,128,418,546,2021,30467.0,0.013719762365838448,0.00420126694456297
34,M1S,141,321,462,2021,37663.0,0.008522953561851154,0.003743727265486021
35,M1T,146,344,490,2021,34607.0,0.0099401855116017,0.004218799664807698
36,M1V,146,386,532,2021,50825.0,0.007594687653713724,0.0028726020659124445
37,M1W,158,383,541,2021,47070.0,0.008136817505842362,0.0033567027830890164
38,M1X,23,107,130,2021,14810.0,0.007224848075624578,0.0015530047265361242
39,M2J,276,586,862,2021,61761.0,0.009488188338919382,0.0044688395589449655
40,M2K,109,339,448,2021,25377.0,0.01335855302045159,0.004295227962328093
41,M2L,62,312,374,2021,11274.0,0.027674294837679615,0.005499379102359411
42,M2M,165,333,498,2021,31915.0,0.010433965220115932,0.005169982766724111
43,M2N,394,921,1315,2021,75100.0,0.012263648468708388,0.005246338215712383
44,M2P,39,219,258,2021,7546.0,0.029021998409753513,0.005168301086668434
45,M2R,169,450,619,2021,40581.0,0.011088933244621867,0.004164510485202434
46,M3A,211,512,723,2021,34361.0,0.01490061406827508,0.00614068275079305
47,M3C,189,318,507,2021,39616.0,0.008027059773828756,0.004770799676898223
48,M4Y,308,590,898,2021,36319.0,0.016244940664665877,0.008480409702910323
49,M1B,205,494,699,2021,65555.0,0.007535657081839677,0.0031271451452978415
50,M5B,137,208,345,2021,17422.0,0.011938927792446333,0.007863620709447825
51,M6R,282,697,979,2021,19349.0,0.03602253346426172,0.01457439660964391
52,M6S,390,1029,1419,2021,34029.0,0.030238913867583532,0.011460812836110376
53,M8V,418,1017,1435,2021,44144.0,0.023038238492207323,0.00946901051105473
54,M8W,254,618,872,2021,22381.0,0.027612707207005944,0.011348912023591439
55,M8X,103,371,474,2021,10624.0,0.034920933734939756,0.009695030120481929
56,M8Y,171,547,718,2021,21986.0,0.024879468752842717,0.007777676703356682
57,M8Z,175,526,701,2021,19312.0,0.027236951118475558,0.00906172328086164
58,M9A,272,799,1071,2021,36642.0,0.02180557829812783,0.007423175590852028
59,M9B,244,743,987,2021,33236.0,0.02235527741003731,0.007341436996028403
60,M9C,278,805,1083,2021,38725.0,0.02078760490639122,0.007178825048418334
61,M9L,40,88,128,2021,11737.0,0.007497656982193065,0.0034080259009968477
62,M9M,83,146,229,2021,24245.0,0.006021860177356156,0.0034233862652093216
63,M9N,145,361,506,2021,26059.0,0.01385317932384205,0.005564296404313289
64,M9P,124,355,479,2021,20645.0,0.017195446839428433,0.00600629692419472
65,M9R,176,429,605,2021,33783.0,0.012698694609714945,0.0052097208655240805
66,M9V,151,313,464,2021,53878.0,0.005809421285125654,0.002802628159916849
67,M9W,175,420,595,2021,40977.0,0.010249652243941724,0.004270688434975718
68,M1C,210,663,873,2021,35642.0,0.01860164973907188,0.0058919252567196006
69,M1G,142,296,438,2021,30894.0,0.009581148443063379,0.0045963617530912155
70,M6P,503,1136,1639,2021,39870.0,0.028492600953097566,0.012616002006521194
71,M5A,369,1007,1376,2021,48978.0,0.020560251541508433,0.007533994854832782
72,M6N,328,784,1112,2021,40252.0,0.019477293053761304,0.008148663420451157
73,M6L,73,215,288,2021,20156.0,0.010666798968049215,0.003621750347291129
74,M5C,27,82,109,2021,3149.0,0.02604001270244522,0.008574150523975865
75,M5E,75,219,294,2021,11779.0,0.018592410221580778,0.006367263774513966
76,M5G,55,92,147,2021,9751.0,0.00943492975079479,0.00564044713362732
77,M5H,13,47,60,2021,3248.0,0.014470443349753694,0.0040024630541871924
78,M5J,99,191,290,2021,16879.0,0.011315836246223118,0.005865276378932401
79,M5M,192,884,1076,2021,25495.0,0.03467346538536968,0.007530888409492057
80,M5N,100,476,576,2021,16154.0,0.02946638603441872,0.00619041723412158
81,M5P,133,678,811,2021,19791.0,0.03425799605881461,0.006720226365519681
82,M6M,199,432,631,2021,42148.0,0.010249596659390719,0.00472145772041378
83,M5R,191,685,876,2021,26197.0,0.026148032217429475,0.00729091117303508
84,M5T,136,239,375,2021,17903.0,0.013349717924370218,0.0075964922080098305
85,M5V,362,1114,1476,2021,59912.0,0.018593937775403926,0.0060421952196554945
86,M6A,136,255,391,2021,22380.0,0.011394101876675604,0.0060768543342269886
87,M6B,136,384,520,2021,28534.0,0.013457629494637975,0.00476624377935095
88,M6C,183,608,791,2021,23997.0,0.025336500395882817,0.007625953244155519
89,M6E,272,653,925,2021,37684.0,0.017328309096698864,0.007217917418533064
90,M6G,371,771,1142,2021,30600.0,0.02519607843137255,0.012124183006535947
91,M6H,532,910,1442,2021,43730.0,0.020809512920192088,0.012165561399496913
92,M6J,329,715,1044,2021,32111.0,0.02226651303291707,0.010245710192768834
93,M6K,406,850,1256,2021,42110.0,0.020185229161719307,0.009641415340774163
94,M5S,123,251,374,2021,17074.0,0.014700714536722502,0.007203935808832143
95,M1E,365,748,1113,2021,48033.0,0.01557262715216622,0.007598942393770949
