,FSA,CAT,DOG,Total,Year
0,M4K,441,930,1371,2015
1,M6B,163,469,632,2015
2,M6A,144,219,363,2015
3,M5X,0,2,2,2015
4,M5W,6,1,7,2015
5,M5V,291,933,1224,2015
6,M5T,127,201,328,2015
7,M5S,125,228,353,2015
8,M5R,250,657,907,2015
9,M5P,185,714,899,2015
10,M6C,267,672,939,2015
11,M5N,130,456,586,2015
12,M5J,74,157,231,2015
13,M5H,7,27,34,2015
14,M5G,37,73,110,2015
15,M5E,56,131,187,2015
16,M5C,20,50,70,2015
17,M5B,71,154,225,2015
18,M5A,359,833,1192,2015
19,M4Y,245,539,784,2015
20,M4X,186,380,566,2015
21,M5M,292,988,1280,2015
22,M6E,385,849,1234,2015
23,M6G,462,730,1192,2015
24,M6H,637,1004,1641,2015
25,M9R,286,494,780,2015
26,M9P,208,406,614,2015
27,M9N,200,478,678,2015
28,M9M,122,240,362,2015
29,M9L,60,123,183,2015
30,M9C,470,1018,1488,2015
31,M9B,443,889,1332,2015
32,M9A,369,976,1345,2015
33,M8Z,271,566,837,2015
34,M8Y,267,682,949,2015
35,M8X,169,427,596,2015
36,M8W,414,805,1219,2015
37,M8V,571,1113,1684,2015
38,M6S,546,1154,1700,2015
39,M6R,428,687,1115,2015
40,M6P,629,1073,1702,2015
41,M6N,515,999,1514,2015
42,M6M,352,624,976,2015
43,M6L,129,277,406,2015
44,M6K,443,792,1235,2015
45,M6J,345,754,1099,2015
46,M4W,137,616,753,2015
47,M9V,228,456,684,2015
48,M4V,178,654,832,2015
49,M4R,177,422,599,2015
50,M2K,150,375,525,2015
51,M2J,277,631,908,2015
52,M2H,170,347,517,2015
53,M1X,37,118,155,2015
54,M1W,208,436,644,2015
55,M1V,197,478,675,2015
56,M1T,181,390,571,2015
57,M1S,196,475,671,2015
58,M1R,208,550,758,2015
59,M2L,99,376,475,2015
60,M1P,313,509,822,2015
61,M1M,258,666,924,2015
62,M1L,308,526,834,2015
63,M1K,393,610,1003,2015
64,M1J,233,417,650,2015
65,M1H,176,336,512,2015
66,M1G,237,418,655,2015
67,M1E,490,1004,1494,2015
68,M1C,347,880,1227,2015
69,M1B,293,612,905,2015
70,M1N,378,834,1212,2015
71,M2M,211,407,618,2015
72,M2N,530,1037,1567,2015
73,M2P,71,265,336,2015
74,M4P,267,545,812,2015
75,M4N,142,699,841,2015
76,M4M,253,721,974,2015
77,M4L,542,1362,1904,2015
78,M4J,586,1079,1665,2015
79,M4H,54,71,125,2015
80,M4G,276,781,1057,2015
81,M4E,477,1155,1632,2015
